时间,内容,转发数,评论数,点赞数
Sat Oct 14 15:22:39 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a> 研究生考试报名已经开始了。最近，小薇收到了一批江汉大学硕士研究生的信件，他们在信里介绍自己的研究生生活，并贴心地给学弟学妹们提供了不少建议。来听听咱们学校研究生同学有什么想和你说<span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FuAs7luzYaqmNCkFQ4LFlNw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">我想对你们说。。。</span></a> ",0,1,3
Sun Oct 08 21:07:35 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%9C%8B%E8%A7%81%E6%B1%9F%E5%A4%A7%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#看见江大#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%9D%AD%E5%B7%9E%E4%BA%9A%E8%BF%90%E4%BC%9A%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#杭州亚运会#</span></a> 始于秋分，终于寒露。本次杭州亚运会中，在龙舟项目上中国队取得了5金1银的优秀成绩！<span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span>我校2022级运动训练专业的三名同学参与了龙舟项目的全部赛事，为中国队贡献了江大力量！<span class=""url-icon""><img alt=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1f/201810_zana_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1f/201810_zana_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1f/201810_zana_mobile.png"" style=""width:1em; height:1em;"" /></span>",0,0,13
Thu Oct 05 14:29:23 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%9C%8B%E8%A7%81%E6%B1%9F%E5%A4%A7%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#看见江大#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%9D%AD%E5%B7%9E%E4%BA%9A%E8%BF%90%E4%BC%9A%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#杭州亚运会#</span></a> 江大人！亚运金牌+2<br />在刚刚结束的杭州亚运会男子龙舟500米决赛中，江汉大学2022级运动训练专业学生张志成、舒亮代表中国队第三道出战。<br />赛程过半，中国队仍然落后。最后关头，张志成、舒亮与队友奋起直追，以0.013秒的优势逆转取胜，斩获江大军团在本届亚运会上的第3金。<br />另一 ...<a href=""/status/4953489383359306"">全文</a>",1,4,37
Wed Oct 04 17:54:43 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%9C%8B%E8%A7%81%E6%B1%9F%E5%A4%A7%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#看见江大#</span></a> 杭州亚运，江大人连夺两金！！！<br /><br />在刚刚结束的杭州亚运会男子龙舟200米决赛中，我校2022级运动训练专业学生张志成、舒亮代表中国队出战，在和队友的同心协力下，以48.464的成绩，为中国队夺得金牌！<br />这是杭州亚运会龙舟项目产生的首枚金牌，也是本届杭州亚运会江大军团夺得的首枚金牌 ！<br /> ...<a href=""/status/4953178670634114"">全文</a>",1,2,60
Wed Oct 04 14:05:47 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%95%BF%E6%B1%9F%E5%A4%A7%E5%AD%A6%E5%90%88%E5%B9%B6%E7%BB%84%E5%BB%BA20%E5%91%A8%E5%B9%B4%E6%9A%A8%E9%AB%98%E6%B0%B4%E5%B9%B3%E5%A4%A7%E5%AD%A6%E5%BB%BA%E8%AE%BE%E4%B8%BB%E9%A2%98%E6%B4%BB%E5%8A%A8%23&extparam=%23%E9%95%BF%E6%B1%9F%E5%A4%A7%E5%AD%A6%E5%90%88%E5%B9%B6%E7%BB%84%E5%BB%BA20%E5%91%A8%E5%B9%B4%E6%9A%A8%E9%AB%98%E6%B0%B4%E5%B9%B3%E5%A4%A7%E5%AD%A6%E5%BB%BA%E8%AE%BE%E4%B8%BB%E9%A2%98%E6%B4%BB%E5%8A%A8%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#长江大学合并组建20周年暨高水平大学建设主题活动#</span></a><br />泱泱荆楚，万古江河<br />如日之升，如月之恒<br />二十春秋，踔厉奋发<br />培育大志，崇尚创新<br />滚滚长江击岸行，叠叠重峻凌云霄<br />峥嵘岁月谱华章，薪火传递觅曙光<br />栉节风雨砥砺行，春华秋实满庭芳<br />二十载铸就辉煌，新时代逐梦一流<br /><a href='/n/江汉大学'>@江汉大学</a> 祝<a href='/n/长江大学'>@长江大学</a> 合并组建2 ...<a href=""/status/4953121056884235"">全文</a>",0,3,30
Sun Oct 01 10:53:06 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a> 祝福祖国！惟愿山河锦绣，国泰民安！",0,7,13
Sat Sep 30 17:55:39 +0800 2023,"今天，向英烈致敬！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a>",0,0,3
Fri Sep 29 19:10:15 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E7%A7%8B%E6%9C%88%E9%A5%BC%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#中秋月饼#</span></a> 祝大家中秋节快乐！🙂🙂🙂 今晚吃准备吃什么口味的月饼呢？<span class=""url-icon""><img alt=""[馋嘴]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/201810_chanzui_mobile.png"" style=""width:1em; height:1em;"" /></span>",0,0,2
Sat Sep 23 10:36:08 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B1%9F%E5%A4%A7%E5%BF%AB%E9%80%92%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#江大快递#</span></a> 最新发布|江汉大学2024年硕士研究生招生指南 <a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA3MjAwODc0MA%3D%3D%26mid%3D2650025185%26idx%3D1%26sn%3D922ee0c735519cf8420e25323ab6bc83"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">最新发布|江汉大学2024年硕士研究生招生指南</span></a> ",1,2,7
Thu Sep 21 20:43:37 +0800 2023,"快看！亚运赛场中的江大健儿<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%9C%8B%E8%A7%81%E6%B1%9F%E5%A4%A7%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#看见江大#</span></a> <a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FnPwUtVeiR9XbA5bEQiuMcw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">快看！亚运赛场中的江大健儿</span></a> ",0,1,12
Mon Sep 18 19:50:35 +0800 2023,"牢记历史，吾辈自强。<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E9%98%B3%E5%85%89%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源阳光#</span></a>",0,0,1
Sat Sep 16 12:42:59 +0800 2023,"致敬最可爱的人！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a>",0,0,3
Sun Sep 10 09:36:49 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%AC%AC39%E4%B8%AA%E6%95%99%E5%B8%88%E8%8A%82%23&extparam=%23%E7%AC%AC39%E4%B8%AA%E6%95%99%E5%B8%88%E8%8A%82%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#第39个教师节#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%84%9F%E6%81%A9%E6%95%99%E5%B8%88%E8%8A%82%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#感恩教师节#</span></a> 祝各位老师节日快乐！<span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/201810_xianhua_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/79/201810_xin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/79/201810_xin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/79/201810_xin_mobile.png"" style=""width:1em; height:1em;"" /></span>",0,9,16
Mon Aug 28 20:38:16 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E4%B8%87%E8%B1%A1%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源万象#</span></a> 开学第一课！新学期也要好好学习<span class=""url-icon""><img alt=""[馋嘴]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/201810_chanzui_mobile.png"" style=""width:1em; height:1em;"" /></span><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F8hYEBgjqjbtjk8saqCo8Ew"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">开学第一课</span></a> ",4,120,1109
Sun Aug 27 15:31:22 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%9C%8B%E8%A7%81%E6%B1%9F%E5%A4%A7%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#看见江大#</span></a> 缘分妙不可言<span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/201810_taikaixin_mobile.png"" style=""width:1em; height:1em;"" /></span>",0,3,12
